week_start,week_label,source,total_rows,feedback_rows,content_flag,performance_flag,ai_assistant_flag,uiux_flag,core_functionality_flag,content_pct,performance_pct,ai_assistant_pct,uiux_pct,core_functionality_pct
2025-09-01,Sep W1 '25,screen,9,2,0,1,0,1,1,0.0,50.0,0.0,50.0,50.0
2025-09-01,Sep W1 '25,interview,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-09-01,Sep W1 '25,combined,10,2,0,1,0,1,1,0.0,50.0,0.0,50.0,50.0
2025-09-08,Sep W2 '25,screen,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-09-08,Sep W2 '25,combined,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-09-15,Sep W3 '25,screen,7,2,1,0,0,2,0,50.0,0.0,0.0,100.0,0.0
2025-09-15,Sep W3 '25,combined,7,2,1,0,0,2,0,50.0,0.0,0.0,100.0,0.0
2025-09-22,Sep W4 '25,screen,7,3,1,0,0,1,0,33.33,0.0,0.0,33.33,0.0
2025-09-22,Sep W4 '25,interview,3,2,1,0,0,0,2,50.0,0.0,0.0,0.0,100.0
2025-09-22,Sep W4 '25,combined,10,5,2,0,0,1,2,40.0,0.0,0.0,20.0,40.0
2025-09-29,Sep W5 '25,screen,119,29,5,3,1,2,2,17.24,10.34,3.45,6.9,6.9
2025-09-29,Sep W5 '25,combined,119,29,5,3,1,2,2,17.24,10.34,3.45,6.9,6.9
2025-10-06,Oct W1 '25,screen,179,36,8,0,0,3,3,22.22,0.0,0.0,8.33,8.33
2025-10-06,Oct W1 '25,interview,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-10-06,Oct W1 '25,combined,180,36,8,0,0,3,3,22.22,0.0,0.0,8.33,8.33
2025-10-13,Oct W2 '25,screen,55,20,4,0,0,5,1,20.0,0.0,0.0,25.0,5.0
2025-10-13,Oct W2 '25,combined,55,20,4,0,0,5,1,20.0,0.0,0.0,25.0,5.0
2025-10-20,Oct W3 '25,screen,42,9,0,1,0,2,0,0.0,11.11,0.0,22.22,0.0
2025-10-20,Oct W3 '25,combined,42,9,0,1,0,2,0,0.0,11.11,0.0,22.22,0.0
2025-10-27,Oct W4 '25,screen,7,1,0,0,0,1,0,0.0,0.0,0.0,100.0,0.0
2025-10-27,Oct W4 '25,combined,7,1,0,0,0,1,0,0.0,0.0,0.0,100.0,0.0
2025-11-03,Nov W1 '25,screen,9,3,0,2,0,0,3,0.0,66.67,0.0,0.0,100.0
2025-11-03,Nov W1 '25,interview,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-11-03,Nov W1 '25,combined,13,3,0,2,0,0,3,0.0,66.67,0.0,0.0,100.0
2025-11-10,Nov W2 '25,screen,17,3,0,1,0,0,1,0.0,33.33,0.0,0.0,33.33
2025-11-10,Nov W2 '25,interview,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-11-10,Nov W2 '25,combined,20,3,0,1,0,0,1,0.0,33.33,0.0,0.0,33.33
2025-11-17,Nov W3 '25,screen,16,6,1,2,1,0,3,16.67,33.33,16.67,0.0,50.0
2025-11-17,Nov W3 '25,interview,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-11-17,Nov W3 '25,combined,19,6,1,2,1,0,3,16.67,33.33,16.67,0.0,50.0
2025-11-24,Nov W4 '25,screen,65,14,0,3,0,1,1,0.0,21.43,0.0,7.14,7.14
2025-11-24,Nov W4 '25,interview,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-11-24,Nov W4 '25,combined,66,14,0,3,0,1,1,0.0,21.43,0.0,7.14,7.14
2025-12-01,Dec W1 '25,screen,26,8,1,2,0,0,1,12.5,25.0,0.0,0.0,12.5
2025-12-01,Dec W1 '25,interview,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-12-01,Dec W1 '25,combined,29,8,1,2,0,0,1,12.5,25.0,0.0,0.0,12.5
2025-12-08,Dec W2 '25,screen,437,157,38,63,4,12,50,24.2,40.13,2.55,7.64,31.85
2025-12-08,Dec W2 '25,interview,5,1,0,0,1,0,0,0.0,0.0,100.0,0.0,0.0
2025-12-08,Dec W2 '25,combined,442,158,38,63,5,12,50,24.05,39.87,3.16,7.59,31.65
2025-12-15,Dec W3 '25,screen,20,9,2,1,1,0,3,22.22,11.11,11.11,0.0,33.33
2025-12-15,Dec W3 '25,interview,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-12-15,Dec W3 '25,combined,21,9,2,1,1,0,3,22.22,11.11,11.11,0.0,33.33
2025-12-22,Dec W4 '25,screen,8,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-12-22,Dec W4 '25,combined,8,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-12-29,Dec W5 '25,screen,7,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-12-29,Dec W5 '25,combined,7,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-01-05,Jan W1 '26,screen,42,15,6,5,1,1,5,40.0,33.33,6.67,6.67,33.33
2026-01-05,Jan W1 '26,interview,4,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
2026-01-05,Jan W1 '26,combined,46,16,7,5,1,1,5,43.75,31.25,6.25,6.25,31.25
2026-01-12,Jan W2 '26,screen,77,17,6,0,1,1,4,35.29,0.0,5.88,5.88,23.53
2026-01-12,Jan W2 '26,interview,8,4,0,1,2,2,0,0.0,25.0,50.0,50.0,0.0
2026-01-12,Jan W2 '26,combined,85,21,6,1,3,3,4,28.57,4.76,14.29,14.29,19.05
2026-01-19,Jan W3 '26,screen,64,12,5,0,2,0,1,41.67,0.0,16.67,0.0,8.33
2026-01-19,Jan W3 '26,interview,5,1,0,0,0,1,0,0.0,0.0,0.0,100.0,0.0
2026-01-19,Jan W3 '26,combined,69,13,5,0,2,1,1,38.46,0.0,15.38,7.69,7.69
2026-01-26,Jan W4 '26,screen,188,56,5,6,9,8,8,8.93,10.71,16.07,14.29,14.29
2026-01-26,Jan W4 '26,interview,7,4,0,3,2,1,0,0.0,75.0,50.0,25.0,0.0
2026-01-26,Jan W4 '26,combined,195,60,5,9,11,9,8,8.33,15.0,18.33,15.0,13.33
2026-02-02,Feb W1 '26,screen,161,39,9,4,5,1,8,23.08,10.26,12.82,2.56,20.51
2026-02-02,Feb W1 '26,interview,11,3,0,2,0,0,1,0.0,66.67,0.0,0.0,33.33
2026-02-02,Feb W1 '26,combined,172,42,9,6,5,1,9,21.43,14.29,11.9,2.38,21.43
2026-02-09,Feb W2 '26,screen,207,50,9,6,3,3,6,18.0,12.0,6.0,6.0,12.0
2026-02-09,Feb W2 '26,interview,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-02-09,Feb W2 '26,combined,208,50,9,6,3,3,6,18.0,12.0,6.0,6.0,12.0
2026-02-16,Feb W3 '26,screen,303,66,25,7,5,4,8,37.88,10.61,7.58,6.06,12.12
2026-02-16,Feb W3 '26,interview,15,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-02-16,Feb W3 '26,combined,318,67,25,7,5,4,8,37.31,10.45,7.46,5.97,11.94
2026-02-23,Feb W4 '26,screen,329,76,12,10,2,13,10,15.79,13.16,2.63,17.11,13.16
2026-02-23,Feb W4 '26,interview,21,8,0,2,0,1,2,0.0,25.0,0.0,12.5,25.0
2026-02-23,Feb W4 '26,combined,350,84,12,12,2,14,12,14.29,14.29,2.38,16.67,14.29
